일자,기온 평균,기온 표준편차,기온 최고,기온 최저,습도 (%),강우량 (mm),일사량 (MJ/m2),결로시간 (min),평균 풍속 (m/s),최대 풍속 (m/s)
2020-01,,,,,,,,,,
2020-02,,,,,,,,,,
2020-03,,,,,,,,,,
2020-04,,,,,,,,,,
2020-05,,,,,,,,,,
2020-06,22.3,3.6,33.9,15.6,77.5,65,233.4,1389,1.3,11.1
2020-07,22.2,3,31.5,16,85,398,387.9,1080,1.2,13.8
2020-08,25.2,2.6,33.8,20.4,88.8,504.5,348.8,1413,1.1,10.3
2020-09,18.8,3.5,28.7,11.3,82.4,154.5,375.5,1193,1.3,11.9
2020-10,11.6,4.6,24,1.5,75.8,11.5,352.4,920,1.2,10.3
2020-11,6.5,5.6,21.7,-4.9,68.9,36.5,192.6,1037,1.4,10.6
2020-12,-2.9,5.3,7.5,-16.1,66.6,7,111.3,764,1.4,9.2
2021-01,-3.9,6.8,11,-19.8,66.6,13.5,167.5,1430,1.6,13.4
2021-02,1.4,6.4,21.1,-12.2,59.3,12.5,295.8,776,1.8,24.4
2021-03,7.6,4.9,22.8,-3.4,65.4,79.5,408.1,984,1.8,13
2021-04,12.5,5.1,28.5,1.2,55.2,67.5,504.1,753,1.8,12.7
2021-05,15.6,4.8,29.4,4.7,73,190.5,482.1,1430,1.4,11.6
2021-06,21.2,3.6,31.6,12.3,77.6,125.5,519.2,1176,1.2,8.6
2021-07,25.3,3.6,34.5,19,81.8,292.5,571.3,1155,1.1,12.2
2021-08,23.5,3,33.9,17.4,85.1,259.5,390.7,1428,1,11.2
2021-09,20,2.8,29,13.9,83,256.5,390.9,1364,1.2,8.5
2021-10,13.4,6,27.3,-1,82.9,43,304.9,1430,1.1,7.3
2021-11,6.6,4.6,18.9,-3.9,75.6,43,154.1,1430,1.4,11.9
2021-12,-0.7,5.4,9.9,-16.4,70.1,4,130.3,1430,1.6,12.8
2022-01,-3.5,4.4,7.6,-13.5,63.6,1,181.7,1139,1.4,9.9
2022-02,-2.5,5.1,10.9,-12.8,55.7,2.5,305.8,198,1.9,12.6
2022-03,6.3,5,19.8,-5.5,65.3,87,365.8,1356,1.7,11.7
2022-04,13.1,5.9,27.2,-0.1,56,51.5,559.2,993,1.6,9.4
2022-05,17.5,5.3,30.4,5.4,56.8,10.5,675,586,1.5,12.8
2022-06,21.9,4.6,34.7,10.7,74.4,223.5,471.7,1410,1.2,10.3
2022-07,24.9,3,33.7,19.7,86.1,382,452.9,1390,1,11
2022-08,23.9,3.4,33.1,13.9,87.9,469.5,331.4,1418,0.9,8.1
2022-09,19.6,4.3,30.2,9.6,80.3,97.5,366.3,1215,1.2,11.7
2022-10,12.1,4.6,24.6,0.9,81.8,102,221.8,1035,1.1,8.2
2022-11,8,4.8,21.5,-7.1,73.3,73.5,123.2,1255,1.1,10.4
2022-12,-5,4.7,7.1,-16.4,73.7,4,98.9,973,1.3,11.9
2023-01,-3.4,5.4,10,-19.8,72.2,30.5,138.6,1346,1.4,10.7
2023-02,0.7,4,12.2,-7.8,64,4,255.9,1252,1.4,12.4
2023-03,8.6,6,24.1,-4.9,50.9,17,418.9,881,1.6,11.3
2023-04,12.4,5.1,26.5,-0.3,59.8,35.5,425,1350,1.6,15
2023-05,17.8,4.9,31,3.8,65.7,133,534.3,1307,1.3,11.1
2023-06,21.8,3.9,32.8,13.3,75.8,223,516.8,1410,1.1,9.8
2023-07,24.8,2.9,33.7,18.4,87.8,584.5,390.3,1360,1,15.2
2023-08,25.4,3.3,34.5,18.4,84.6,249.5,377.3,1306,0.9,9.6
2023-09,21.2,3.3,30.5,12.8,85.4,243,252.4,1318,0.8,8.4
2023-10,12.5,3.6,21.6,2.5,83.7,33,173.6,1392,0.8,12.1
2023-11,5.5,7.2,24.3,-8.1,71.6,45,93.9,1306,1.3,11.3
2023-12,-0.1,7.2,16.6,-15,75.6,92,91.5,1399,1.4,10.8
2024-01,-1.8,4.5,9.4,-14.2,74.6,33,122.6,901,1.3,9.1
2024-02,2.7,3.9,17.1,-4.8,77.3,86,167.6,1113,1.4,13.8
2024-03,5.6,5.3,20.7,-10.1,61.8,50.5,387.6,670,1.8,20.1
2024-04,15,4.7,28.3,4.6,62.4,58,448.2,569,1.4,10
2024-05,17,5,29.2,6.3,68.5,143,577,582,1.3,9.3
2024-06,22.1,4.5,34.5,12,71.2,131.5,555.6,1087,1.2,10.6
2024-07,25.1,2.7,34,20,87.3,532.5,341.1,1183,1,10.5
2024-08,26.8,3.2,35.3,19.5,83.7,82.5,416.7,1303,0.9,10.5
2024-09,23.2,3.8,33.7,12.9,83.9,273.5,251,1095,0.7,8.7
2024-10,14.4,3.1,22.4,-10.4,86.3,149.5,164.5,1308,0.8,10.7
2024-11,7.6,5.6,22,-4.8,79,25,85.1,851,1.1,12.4
2024-12,-1.3,3.6,13.7,-9.9,68.3,13,97.2,662,1.3,7.9